REVIEW_ID,review_text,review_date
920524964_1723996,"Clean, good location Clean, good location with many restaurants, shopping near.  Rooms are small, suggest requesting double beds for extra room.  A/C did not cool well.  Trash bins in lobby and out front overflowing/nasty.  I would give 3.5 if an option.",10/9/23
923539768_23228472,"If only they fixed the windows The entire staff was very nice and the front desk did a great job trying to accommodate me, but the hotel has a noise problem. I moved 3 different times. The windows are not double pained and are ill fitting, so no matter which way you face or which floor you are on, there is no escape from the intense street noise and the motor bikes and sirens are disruptive. Heavy drapes would help, but they only have a single blind and a wispy voile curtain.
Interior noise is also an issue: you hear door slamming and hallway chatter from guests and cleaning crew. And since this hotel caters to a lot of weddings, this proved problematic. They gave me a sound machine but it was like an airplane turbine and proved worse.

The bathrooms were nice but I thought the rooms were lackluster. Based on the fact the hotel is an architectural gem, I had high hopes. Sadly, my sleepless nights mean I won't be returning. The downstairs bar was lively. The gym was nice but unfortunately it is windowless.",10/29/23
890353761_4232666,"Stay farther away from Zion Below what I expected for the very high price but I assume that's because location. My digital key didn't work for the outside door to hotel so had to get plastic key cards; hotel staff said the Hilton app is glitchy like that. Also a parking pass from front desk is required so why advertise contactless check-in? The a/c was too cold when running and too hot when not running no matter what temp we set so kept waking at night to reset. The water pressure was poor, the towels were rough. I understand why they use the large pump bottles for shampoo, conditioner, lotion and hand soap but I don't think it's very sanitary and the products inside the bottles were not quality. Breakfast was typical. Glad they only clean rooms on request during a stay. Good location to catch the Springdale shuttle but it would have been better to stay outside of Springdale and park in one of the many paid spots available instead.",5/14/23
893575470_96805,"No Windows Hotel was fine, but will never stay here again to the rooms not having windows to the outside. The air sounded like a generator was running every time it kicked on. Staff was great and it was clean. I would have no complaints if the hotel had windows and a quieter a/c.",6/5/23
885090446_4946937,"Hyatt Place Omaha Old Market needs a refresh The staff seemed attentive and willing to help. However, the Hyatt Place Omaha Old Market needs a refresh, it's old and outdated. The price point is high but the property needs help. The carpet transition from carpet to tile in the room is shredded and coming apart. We had connecting rooms with one having an issue with the A/C. Thankfully upon calling for help the maintenance team remedied by changing out the unit and the issue was resolved. I was hoping for a higher level experience given the price point.",4/6/23
882342635_240165,"Spring Break Miami My girlfriend and I came for a Spring Break trip. The hotel was very accommodating, with great facilities and upkeep. Aaron was especially helpful, with great recommendations and overall service! Highly recommend!",3/15/23
921026648_7890891,"No Parking!! This place is a ok place, but staff are rude.  And no parking.  I have a Handicap placard and 2 people in our party that cannot walk very far.  We was told at check in that anyone with out a visible placard for the hotel would be towed.   there is 5 cars and one in a HC space with no placards at all, and they will not tow them.  Had to park a block away. Front desk guy just laughed when I explained about Handicap.  Also cleaning staff are loud in the mornings. Laughing and to the point of waking up the whole hall.  Will never stay again here or recommend it to anyone",10/12/23
874803862_84122,"A great visit Abdul was helpful and kind.  The Madison is a great place and wonderful food and service.   We had a dinner in the hotel restaurant.  Great environment, minimal crowds. We had a great experience.  Thanks Abdul!  The rooms at this hotel are also comfortable and spacious.",1/11/23
890511151_111371,"A little worn, but lot's of charm Beautiful older hotel with lots of character. Charming marble lobby and the hotel restaurant, Livingstone's, felt like a time machine back to the era when travel was still chic! I was upgraded to a suite, which was nice, but the room needed a reno (and an upgrade to better coffee in-room please!). The security latch on the door had been broken off, holes in some furniture, etc. I was on business and spent little time in the room, so no worries for me, but was a little disappointed after the luxury of the downstairs. All in all, was glad I stayed there.",5/15/23
883491227_100364,"Hole in Towel Not enough Towels for the room.  Handle to shower valve was loose due to screw missing.  Refrigerator door made a noise.  Refrigerator starting to make a running noise.  Serves a lite Breakfast of muffins, breakfast bars and honey buns.  Also have coffee, hot tea and juice.",3/25/23
